ID,Date,Temp,RH,HrlyPcp,WindSpd,WindDir,CloudCov
VLYC1,9/6/20 11:54,101,11,0,5.99,329,0
VLYC1,9/6/20 12:54,103,9,0,5.99,333,0
VLYC1,9/6/20 13:54,104,8,0,5.99,15,0
VLYC1,9/6/20 14:54,106,8,0,4,5,0
VLYC1,9/6/20 15:54,105,8,0,7,314,0
VLYC1,9/6/20 16:54,105,8,0,4,325,0
VLYC1,9/6/20 17:54,102,9,0,4,313,0
VLYC1,9/6/20 18:54,95,13,0,1,215,0
VLYC1,9/6/20 19:54,89,14,0,2,129,0
VLYC1,9/6/20 20:54,83,18,0,1,143,0
VLYC1,9/6/20 21:54,77,22,0,1,124,0
VLYC1,9/6/20 22:54,75,23,0,2,117,0
VLYC1,9/6/20 23:54,75,24,0,1,107,0
VLYC1,9/7/20 0:54,76,24,0,1,197,0
VLYC1,9/7/20 1:54,76,23,0,1,87,0
VLYC1,9/7/20 2:54,75,23,0,3,201,0
VLYC1,9/7/20 3:54,73,24,0,0,201,0
VLYC1,9/7/20 4:54,75,22,0,3,137,0
VLYC1,9/7/20 5:54,73,22,0,2,125,0
VLYC1,9/7/20 6:54,71,24,0,3,133,0
VLYC1,9/7/20 7:54,76,25,0,1,193,0
VLYC1,9/7/20 8:54,85,20,0,0,193,0
VLYC1,9/7/20 9:54,94,17,0,0,193,0
VLYC1,9/7/20 10:54,97,12,0,3,306,0
VLYC1,9/7/20 11:54,99,10,0,3,251,0
VLYC1,9/7/20 12:54,100,8,0,5,318,0
VLYC1,9/7/20 13:54,99,11,0,7,280,0
VLYC1,9/7/20 14:54,101,10,0,7,283,0
VLYC1,9/7/20 15:54,100,9,0,11,288,0
VLYC1,9/7/20 16:54,97,11,0,13,269,0
VLYC1,9/7/20 18:54,89,14,0,7,259,0
VLYC1,9/7/20 19:54,85,16,0,5,255,0
VLYC1,9/7/20 20:54,84,17,0,3,241,0
VLYC1,9/7/20 21:54,84,17,0,3,218,0
VLYC1,9/7/20 22:54,86,16,0,5.99,234,0
VLYC1,9/7/20 23:54,85,18,0,7,235,0
VLYC1,9/8/20 0:54,85,21,0,5.99,234,0
VLYC1,9/8/20 1:54,84,22,0,5.99,231,0
VLYC1,9/8/20 2:54,82,24,0,5,227,0
VLYC1,9/8/20 3:54,82,25,0,4,239,0
VLYC1,9/8/20 4:54,81,25,0,4,243,0
VLYC1,9/8/20 5:54,79,25,0,1,197,0
VLYC1,9/8/20 6:54,72,31,0,2,64,0
VLYC1,9/8/20 7:54,76,29,0,2,96,0
VLYC1,9/8/20 8:54,84,24,0,1,286,0
VLYC1,9/8/20 9:54,87,21,0,5,272,0
VLYC1,9/8/20 10:54,90,18,0,5.99,297,0
VLYC1,9/8/20 11:54,90,18,0,8,342,0
VLYC1,9/8/20 12:54,88,12,0,13,49,0
VLYC1,9/8/20 13:54,88,11,0,13,42,0
VLYC1,9/8/20 14:54,87,10,0,12,41,0
VLYC1,9/8/20 15:54,86,10,0,12,64,0
VLYC1,9/8/20 16:54,84,10,0,10,52,0
VLYC1,9/8/20 17:54,81,9,0,13,53,0
VLYC1,9/8/20 18:54,78,9,0,9,70,0
VLYC1,9/8/20 19:54,74,9,0,5.99,88,0
VLYC1,9/8/20 20:54,68,11,0,4,98,0
VLYC1,9/8/20 21:54,68,12,0,5,55,0
VLYC1,9/8/20 22:54,66,12,0,5,61,0
VLYC1,9/8/20 23:54,71,11,0,7,84,0
VLYC1,9/9/20 0:54,68,12,0,5,77,0
VLYC1,9/9/20 1:54,62,16,0,4,86,0
VLYC1,9/9/20 2:54,60,17,0,5.99,64,0
VLYC1,9/9/20 3:54,59,18,0,5.99,61,0
VLYC1,9/9/20 4:54,58,20,0,5,76,0
VLYC1,9/9/20 5:54,56,22,0,5,87,0
VLYC1,9/9/20 6:54,56,22,0,5,70,0
VLYC1,9/9/20 7:54,67,15,0,8,85,0
VLYC1,9/9/20 8:54,70,13,0,10,62,0
VLYC1,9/9/20 9:54,72,12,0,11,80,0
VLYC1,9/9/20 10:54,73,11,0,10,68,0
VLYC1,9/9/20 11:54,76,10,0,8,51,0
VLYC1,9/9/20 12:54,78,9,0,10,53,0
VLYC1,9/9/20 13:54,80,8,0,9,50,0
VLYC1,9/9/20 14:54,79,8,0,11,50,0
VLYC1,9/9/20 15:54,79,7,0,10,50,0
VLYC1,9/9/20 16:54,79,6,0,7,66,0
VLYC1,9/9/20 17:54,78,6,0,7,77,0
VLYC1,9/9/20 18:54,75,7,0,5.99,48,0
VLYC1,9/9/20 19:54,66,11,0,7,75,0
VLYC1,9/9/20 20:54,62,14,0,0,75,0
VLYC1,9/9/20 21:54,62,13,0,1,149,0
VLYC1,9/9/20 22:54,57,15,0,4,114,0
VLYC1,9/9/20 23:54,57,15,0,2,128,0
VLYC1,9/10/20 0:54,58,14,0,3,114,0
VLYC1,9/10/20 1:54,58,17,0,1,270,0
VLYC1,9/10/20 2:54,56,15,0,2,68,0
VLYC1,9/10/20 3:54,53,17,0,1,348,0
VLYC1,9/10/20 4:54,49,21,0,2,114,0
VLYC1,9/10/20 5:54,49,21,0,3,114,0
VLYC1,9/10/20 6:54,51,20,0,5,96,0
VLYC1,9/10/20 7:54,56,23,0,1,80,0
VLYC1,9/10/20 8:54,64,27,0,0,80,0
VLYC1,9/10/20 9:54,70,13,0,4,296,0
VLYC1,9/10/20 10:54,74,10,0,4,317,0
VLYC1,9/10/20 11:54,75,11,0,5,272,0
VLYC1,9/10/20 12:54,79,9,0,5,332,0
VLYC1,9/10/20 13:54,80,10,0,5.99,269,0
VLYC1,9/10/20 14:54,82,9,0,3,298,0
VLYC1,9/10/20 15:54,82,8,0,4,5,0
VLYC1,9/10/20 16:54,80,9,0,5,296,0
VLYC1,9/10/20 17:54,74,15,0,1,229,0
VLYC1,9/10/20 18:54,69,15,0,2,110,0
VLYC1,9/10/20 19:54,64,17,0,4,60,0
VLYC1,9/10/20 20:54,63,17,0,4,124,0
VLYC1,9/10/20 21:54,58,20,0,3,75,0
VLYC1,9/10/20 22:54,59,19,0,2,82,0
VLYC1,9/10/20 23:54,58,19,0,2,133,0
VLYC1,9/11/20 0:54,55,21,0,4,104,0
VLYC1,9/11/20 1:54,55,21,0,4,103,0
VLYC1,9/11/20 2:54,56,20,0,3,66,0
VLYC1,9/11/20 3:54,57,19,0,1,109,0
VLYC1,9/11/20 4:54,56,19,0,4,111,0
VLYC1,9/11/20 5:54,54,21,0,2,111,0
VLYC1,9/11/20 6:54,55,21,0,3,107,0
VLYC1,9/11/20 7:54,59,21,0,2,104,0
VLYC1,9/11/20 8:54,69,16,0,0,104,0
VLYC1,9/11/20 9:54,74,17,0,2,241,0
VLYC1,9/11/20 10:54,77,12,0,3,275,0
VLYC1,9/11/20 11:54,80,10,0,5.99,347,0
VLYC1,9/11/20 12:54,81,9,0,5,327,0
VLYC1,9/11/20 13:54,84,8,0,4,324,0
VLYC1,9/11/20 14:54,85,8,0,5.99,6,0
VLYC1,9/11/20 15:54,84,8,0,7,317,0
VLYC1,9/11/20 16:54,82,9,0,7,314,0
VLYC1,9/11/20 17:54,77,13,0,4,276,0
VLYC1,9/11/20 18:54,72,13,0,0,276,0
VLYC1,9/11/20 19:54,63,18,0,1,106,0
VLYC1,9/11/20 20:54,61,19,0,1,134,0
VLYC1,9/11/20 21:54,64,18,0,0,134,0
VLYC1,9/11/20 22:54,61,20,0,1,119,0
VLYC1,9/11/20 23:54,61,20,0,0,119,0
VLYC1,9/12/20 0:54,61,20,0,0,119,0
VLYC1,9/12/20 1:54,60,21,0,2,169,0
VLYC1,9/12/20 2:54,57,24,0,3,106,0
VLYC1,9/12/20 3:54,55,27,0,4,96,0
VLYC1,9/12/20 4:54,56,26,0,4,81,0
VLYC1,9/12/20 5:54,52,30,0,2,100,0
VLYC1,9/12/20 6:54,53,29,0,1,110,0
VLYC1,9/12/20 7:54,56,30,0,1,74,0
VLYC1,9/12/20 8:54,69,21,0,0,74,0
VLYC1,9/12/20 9:54,78,15,0,0,74,0
VLYC1,9/12/20 10:54,80,12,0,3,341,0
VLYC1,9/12/20 11:54,82,11,0,4,329,0
VLYC1,9/12/20 12:54,83,11,0,7,331,0
VLYC1,9/12/20 13:54,85,9,0,7,335,0
