fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
GR1,51.621244,-115.608378,,,,,,,,,,101
